DEMANDA,QUANTIDADE,DATA_SOLICITAÇÃO,PRAZO_DESEJADO,DATA_APROVAÇÃO,DATA_EMISSAO_NF,PREVISAO_ENTREGA,NUMERO_NF,FORNECEDOR,VALOR_TOTAL_COMPRA,VALOR_FRETE,CREDITO_ICMS,CNPJ_FATURADO,FORMA_PAGAMENTO,NUMERO_PARCELAS,VALOR_UNITARIO,UNIDADES,CATEGORIA_COMPRAS,CATEGORIA_MATERIAL_PCP
Pendente Metalicos 30cm Preto,1000,2024-07-22,2024-07-15,2024-07-16,2024-07-17,2024-07-22,205710,Lassane,320.02,24.3,40.01,Gomes,Boleto,3.0,0.32,UNIDADES,Wire-o,PENDENTE
20378 WIRE-O - BOBINA PRETAUNICA-3/4,1,2024-07-22,2024-07-15,2024-07-16,2024-07-17,2024-07-22,205710,Lassane,345.93,26.27,43.25,Gomes,Boleto,3.0,345.93,CAIXAS,Wire-o,WIRE-O
20380 WIRE-O - BOBINA BRANCAUNICA-5/8,2,2024-07-22,2024-07-15,2024-07-16,2024-07-17,2024-07-22,205710,Lassane,906.51,68.84,113.36,Gomes,Boleto,3.0,453.26,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-5/8,5,2024-07-22,2024-07-15,2024-07-16,2024-07-17,2024-07-22,205710,Lassane,2266.29,172.09,283.39,Gomes,Boleto,3.0,453.26,CAIXAS,Wire-o,WIRE-O
20381 WIRE-O - BOBINA PRATAUNICA-7/8,15,2024-07-22,2024-07-15,2024-07-16,2024-07-17,2024-07-22,205710,Lassane,5008.66,380.33,626.31,Gomes,Boleto,3.0,333.91,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-9/16,2,2024-07-22,2024-07-15,2024-07-16,2024-07-17,2024-07-22,205710,Lassane,943.52,71.65,117.98,Gomes,Boleto,3.0,471.76,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-7/8,1,2024-07-22,2024-07-15,2024-07-16,2024-07-17,2024-07-22,205710,Lassane,323.33,24.55,40.43,Gomes,Boleto,3.0,323.33,CAIXAS,Wire-o,WIRE-O
20380 WIRE-O - BOBINA BRANCAUNICA-7/8,1,2024-07-22,2024-07-15,2024-07-16,2024-07-17,2024-07-22,205710,Lassane,323.33,24.55,40.43,Gomes,Boleto,3.0,323.33,CAIXAS,Wire-o,WIRE-O
MP002 FITA DE CETIM Nº1 7MMAzul Royal - cód. 40-7MM,100,2024-07-19,2024-07-15,2024-07-22,,2024-07-26,901349,Parco Comércio e Serviços,12.99,,,Gomes,Cartão,1.0,0.13,METROS,Aviamentos,FITA DE CETIM
20338 FERRAGEM A6UNICA-U,800,2024-07-19,2024-07-15,2024-07-16,2024-07-17,2024-07-22,10471,US Rings,2334.48,67.09,87.68,Projeto,Boleto,3.0,2.92,UNIDADES,Wire-o,FERRAGEM
MP099 PELICA PRETA 180G/M2 Bob 1300 MM - COR 124UNICA-U,900,2024-08-05,2024-07-16,2024-07-16,2024-07-25,2024-08-05,25426,Buritama Sintéticos,8407.65,311.54,977.16,Elohim,Boleto,3.0,9.34,METROS,Sintéticos,COURO
MP111 PELICA CARAMELO 180G/M2 BOB 1300 MMUNICA-U,400,2024-08-05,2024-07-16,2024-07-16,2024-07-25,2024-08-05,25426,Buritama Sintéticos,3570.39,138.46,414.96,Elohim,Boleto,3.0,8.93,METROS,Sintéticos,COURO
Papelao 1250 g/m2 1.5mm - 800 x 1000,1500,2024-08-17,2024-07-17,2024-07-19,2024-07-29,2024-08-17,37599,Papelão União,6422.98,511.99,810.01,Bela,Boleto,4.0,4.28,FOLHAS,Papelão,PAPELAO
MP126 Percalux Preto 180g/m2 Bob 1300 mmUNICA-U,30,2024-07-23,2024-07-19,2024-07-18,2024-07-23,2024-07-23,14495,Jafi Decorações,525.0,0.0,0.0,Projeto,Cartão,3.0,17.5,METROS,Sintéticos,COURO
MP119 Percalux Azul Royal 180g/m2 Bob 1300 MM - JAFIRUNICA-U,30,2024-07-23,2024-07-19,2024-07-18,2024-07-23,2024-07-23,14495,Jafi Decorações,525.0,0.0,0.0,Projeto,Cartão,3.0,17.5,METROS,Sintéticos,COURO
Percalux Cinza Granito 180g/m2 Bob 1400 mm,30,2024-07-23,2024-07-19,2024-07-18,2024-07-23,2024-07-23,14495,Jafi Decorações,525.0,0.0,0.0,Projeto,Cartão,3.0,17.5,METROS,Sintéticos,COURO
20378 WIRE-O - BOBINA PRETAUNICA-1 1/4,5,2024-06-26,2024-06-26,2024-06-26,2024-06-26,2024-06-26,204984,Lassane,1274.42,0.0,152.93,Universo,Boleto,1.0,254.88,UNIDADES,Wire-o,WIRE-O
MP003 ELASTICO Nº 12Rosa Pink - São José-U,110,2024-07-24,2024-07-22,2024-07-22,2024-07-23,2024-07-31,171105,DSJ Londrina,60.94,37.16,11.77,Projeto,Cartão,3.0,0.55,METROS,Aviamentos,ELASTICO
20378 WIRE-O - BOBINA PRETAUNICA-3/8,3,2024-08-05,2024-07-31,2024-07-31,2024-07-31,2024-08-05,206173,Lassane,1781.9,109.92,207.1,Asaliah,Boleto,3.0,593.97,CAIXAS,Wire-o,WIRE-O
Papelao 1250 g/m2 1.0mm - 800 x 1000,4000,2024-08-20,2024-08-05,2024-08-07,2024-08-15,2024-08-23,37751,Papelão União,12199.12,1013.49,1421.37,Bela,Boleto,4.0,3.05,UNIDADES,Papelão,PAPELAO
20380 WIRE-O - BOBINA BRANCAUNICA-1 1/4,1,2024-08-19,2024-08-06,2024-08-13,2024-08-14,2024-08-20,206714,Lassane,254.88,24.88,32.51,Asaliah,Boleto,3.0,254.88,CAIXAS,Wire-o,WIRE-O
20380 WIRE-O - BOBINA BRANCAUNICA-3/4,1,2024-08-19,2024-08-06,2024-08-13,2024-08-14,2024-08-20,206714,Lassane,345.93,33.77,44.13,Asaliah,Boleto,3.0,345.93,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-3/4,1,2024-08-19,2024-08-06,2024-08-13,2024-08-14,2024-08-20,206714,Lassane,345.93,33.77,44.13,Asaliah,Boleto,3.0,345.93,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-7/8,4,2024-08-19,2024-08-06,2024-08-13,2024-08-14,2024-08-20,206714,Lassane,1293.32,126.25,164.98,Asaliah,Boleto,3.0,323.33,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-5/8,1,2024-08-19,2024-08-06,2024-08-13,2024-08-14,2024-08-20,206714,Lassane,453.26,262.92,57.82,Asaliah,Boleto,3.0,453.26,CAIXAS,Wire-o,WIRE-O
MP003 ELASTICO Nº 12Dourado - São José-U,2000,2024-08-12,2024-08-06,2024-08-07,2024-08-07,2024-08-14,187978,DSJ Londrina,1518.4,99.69,193.16,Projeto,Cartão,3.0,0.76,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Royal - São José-U,200,2024-08-12,2024-08-06,2024-08-07,2024-08-07,2024-08-14,187978,DSJ Londrina,110.8,0.0,14.11,Projeto,Cartão,3.0,0.55,METROS,Aviamentos,ELASTICO
20336 FERRAGEM A5UNICA-U,3300,2024-08-15,2024-08-07,2024-08-12,2024-08-12,2024-08-12,3715,Naxan,11715.0,458.18,0.0,Bela,Boleto,3.0,3.55,UNIDADES,Wire-o,FERRAGEM
MP001 FITA DE CETIM Nº0 4MMAzul Marinho - Cód. 120 Kit-4MM,100,2024-08-15,2024-08-07,2024-08-07,2024-08-08,2024-08-12,99728,Castro e Castro,9.99,0.0,1.09,Elohim,Boleto,2.0,0.1,METROS,Resto,FITA DE CETIM
MP427 REBITE FERRO EBERLE - NIQUELADOUNICA-U,10000,2024-08-19,2024-08-13,2024-08-21,2024-08-21,2024-08-26,87138,Comercial Maluli,1160.0,46.41,144.77,Projeto,Cartão,6.0,0.12,UNIDADES,Resto,REBITE
MP126 Percalux Preto 180g/m2 Bob 1300 mmUNICA-U,50,2024-08-13,2024-08-13,2024-08-13,2024-08-14,2024-08-15,14566,Jafi Decorações,525.0,0.0,0.0,Projeto,Cartão,3.0,10.5,METROS,Sintéticos,COURO
Fita de Cetim Nº0 7mm Branco - Cód. 01 Kit,10,2024-08-15,2024-08-14,2024-08-15,2024-08-16,2024-08-16,903450,Parco Comércio e Serviços,12.99,0.0,2.6,Gomes,Boleto,1.0,1.3,METROS,Aviamentos,FITA DE CETIM
MP436 PAPELAO CORTADO 35.5X18.5 - FICHÁRIO A6UNICA-U,1200,2024-08-31,2024-06-25,2024-06-25,2024-08-20,2024-08-29,37794,Papelão União,1750.94,38.97,219.78,Natural,Boleto,5.0,1.46,UNIDADES,Papelão,PAPELAO
MP435 PAPELAO CORTADO 36.5X23.5 - ORG.A5/WIRE-O.A5/PLAN17X19.5UNICA-U,21000,2024-08-31,2024-06-25,2024-06-25,2024-08-20,2024-08-29,37794,Papelão União,12490.73,892.96,1567.85,Natural,Boleto,5.0,0.59,UNIDADES,Papelão,PAPELAO
MP434 PAPELAO CORTADO 29X23.5 - CADERNETA 14X21/9X13UNICA-U,27000,2024-08-31,2024-06-25,2024-06-25,2024-08-20,2024-08-29,37794,Papelão União,13435.79,918.48,1686.48,Natural,Boleto,5.0,0.5,UNIDADES,Papelão,PAPELAO
MP437 PAPELAO CORTADO 43X27 - FICHARIO A5/17X24/CAD.OGR17X24UNICA-U,15600,2024-08-31,2024-06-25,2024-06-25,2024-08-20,2024-08-29,37794,Papelão União,14407.46,904.56,1808.45,Natural,Boleto,5.0,0.92,UNIDADES,Papelão,PAPELAO
MP433 PAPELAO CORTADO 28X26.5 - BLOCO 12X20UNICA-U,2400,2024-08-31,2024-06-25,2024-06-25,2024-08-20,2024-08-29,37794,Papelão União,3997.53,89.06,501.78,Natural,Boleto,5.0,1.67,UNIDADES,Papelão,PAPELAO
MP431 PAPELAO CORTADO 27X38 - COLEGIAL 17X24UNICA-U,10500,2024-08-31,2024-08-13,2024-08-13,2024-08-20,2024-08-29,37795,Papelão União,5874.37,636.84,736.88,Bela,Boleto,4.0,0.56,UNIDADES,Papelão,PAPELAO
MP430 PAPELAO CORTADO 23X30 - COLEGIAL 17X24UNICA-U,16000,2024-08-31,2024-08-13,2024-08-13,2024-08-20,2024-08-29,37795,Papelão União,6018.57,657.76,761.2,Bela,Boleto,4.0,0.38,UNIDADES,Papelão,PAPELAO
MP432 PAPELAO CORTADO 20X26.5 - AGENDA 11.5X16/15.5X9UNICA-U,2700,2024-08-31,2024-08-13,2024-08-13,2024-08-20,2024-08-29,37795,Papelão União,948.92,103.4,119.65,Bela,Boleto,4.0,0.35,UNIDADES,Papelão,PAPELAO
MP003 ELASTICO Nº 12Verde Bandeira - São José-U,200,2024-08-21,2024-08-14,2024-08-19,2024-08-19,2024-08-22,199701,DSJ Londrina,110.8,44.46,18.63,Projeto,Cartão,3.0,0.55,METROS,Aviamentos,ELASTICO
20378 WIRE-O - BOBINA PRETAUNICA-1 1/4,9,2024-08-21,2024-08-15,2024-08-16,2024-08-19,2024-08-21,206872,Lassane,2293.95,250.18,295.69,Asaliah,Boleto,3.0,254.88,CAIXAS,Wire-o,WIRE-O
20380 WIRE-O - BOBINA BRANCAUNICA-1 1/4,2,2024-08-21,2024-08-15,2024-08-16,2024-08-19,2024-08-21,206872,Lassane,509.77,55.6,65.71,Asaliah,Boleto,3.0,254.89,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-3/8,2,2024-08-21,2024-08-15,2024-08-16,2024-08-19,2024-08-21,206872,Lassane,1112.27,121.3,143.37,Asaliah,Boleto,3.0,556.14,CAIXAS,Wire-o,WIRE-O
MP003 ELASTICO Nº 12Azul Marinho - São José-U,600,2024-08-21,2024-08-15,2024-08-15,2024-08-16,2024-08-23,197018,DSJ Londrina,332.4,38.74,41.1,Projeto,Cartão,3.0,0.55,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Royal - São José-U,400,2024-08-21,2024-08-15,2024-08-15,2024-08-16,2024-08-23,197018,DSJ Londrina,221.6,0.0,27.4,Projeto,Cartão,3.0,0.55,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Preto - São José-U,800,2024-08-21,2024-08-15,2024-08-15,2024-08-16,2024-08-23,197018,DSJ Londrina,443.2,0.0,54.8,Projeto,Cartão,3.0,0.55,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Verde Agua - São José-U,200,2024-08-21,2024-08-15,2024-08-15,2024-08-16,2024-08-23,197018,DSJ Londrina,110.8,0.0,13.7,Projeto,Cartão,3.0,0.55,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Verde Musgo - São José-U,300,2024-08-21,2024-08-15,2024-08-15,2024-08-16,2024-08-23,197018,DSJ Londrina,166.2,0.0,20.55,Projeto,Cartão,3.0,0.55,METROS,Aviamentos,ELASTICO
MP001 FITA DE CETIM Nº0 4MMAzul Marinho - Cód. 120 Kit-4MM,300,2024-08-21,2024-08-15,2024-08-15,2024-08-16,2024-08-19,100470,Castro e Castro,29.97,0.0,3.27,Elohim,Boleto,2.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMMarrom - cód. 32-4MM,200,2024-08-21,2024-08-15,2024-08-15,,2024-08-19,100470,Parco Comércio e Serviços,19.98,,,Elohim,Boleto,1.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Musgo - cód. 108 Kit-4MM,200,2024-08-21,2024-08-15,2024-08-15,2024-08-16,2024-08-16,903450,Parco Comércio e Serviços,25.98,0.0,5.2,Gomes,Cartão,1.0,0.13,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMAzul Marinho - Cód. 120 Kit-7MM,400,2024-08-21,2024-08-15,2024-08-15,2024-08-16,2024-08-19,100470,Castro e Castro,39.96,0.0,4.36,Elohim,Boleto,2.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMAzul Royal - cód. 40-7MM,200,2024-08-21,2024-08-15,2024-08-15,2024-08-16,2024-08-19,100470,Castro e Castro,19.98,0.0,2.18,Elohim,Boleto,2.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMDourada - Cód. 87 Kit-7MM,400,2024-08-21,2024-08-15,2024-08-15,2024-08-16,2024-08-19,100470,Castro e Castro,39.96,0.0,4.36,Elohim,Boleto,2.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMMarrom - cód. 32-7MM,200,2024-08-21,2024-08-15,2024-08-15,2024-08-16,2024-08-19,100470,Castro e Castro,19.98,0.0,2.18,Elohim,Boleto,2.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMPreta - Cód. 39-7MM,400,2024-08-21,2024-08-15,2024-08-15,2024-08-16,2024-08-19,100470,Castro e Castro,39.96,0.0,4.36,Elohim,Boleto,2.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP004 ILHOS Nº 54PRETO-U,10000,2024-08-21,2024-08-15,2024-08-15,2024-08-16,2024-08-19,100470,Castro e Castro,245.9,0.0,26.82,Elohim,Boleto,2.0,0.02,UNIDADES,Resto,ILHOS
20378 WIRE-O - BOBINA PRETAUNICA-7/8,4,2024-08-21,2024-08-15,2024-08-19,2024-08-20,2024-08-22,206921,Lassane,1293.31,147.94,167.5,Mar,Boleto,3.0,323.33,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-1 1/4,2,2024-09-02,2024-08-15,2024-08-19,2024-08-20,2024-08-22,206921,Lassane,509.77,58.31,66.03,Mar,Boleto,3.0,254.89,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-1,15,2024-09-02,2024-08-19,2024-08-26,2024-08-27,2024-08-26,207178,Lassane,4360.2,437.26,553.08,Mar,Boleto,4.0,290.68,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-3/4,3,2024-09-02,2024-08-19,2024-08-26,2024-08-27,2024-08-26,207178,Lassane,1037.79,93.18,131.64,Mar,Boleto,4.0,345.93,CAIXAS,Wire-o,WIRE-O
20380 WIRE-O - BOBINA BRANCAUNICA-5/8,4,2024-09-02,2024-08-19,2024-08-26,2024-08-27,2024-08-26,207178,Lassane,1813.03,162.79,229.98,Mar,Boleto,4.0,453.26,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-5/8,15,2024-09-02,2024-08-19,2024-08-26,2024-08-27,2024-08-26,207178,Lassane,6798.86,610.45,862.42,Mar,Boleto,4.0,453.26,CAIXAS,Wire-o,WIRE-O
20380 WIRE-O - BOBINA BRANCAUNICA-7/8,5,2024-09-02,2024-08-19,2024-08-26,2024-08-27,2024-08-26,207178,Lassane,1616.64,145.15,205.07,Mar,Boleto,4.0,323.33,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-7/8,20,2024-09-02,2024-08-19,2024-08-26,2024-08-27,2024-08-26,207178,Lassane,6466.55,580.61,820.27,Mar,Boleto,4.0,323.33,CAIXAS,Wire-o,WIRE-O
20381 WIRE-O - BOBINA PRATAUNICA-7/8,12,2024-09-02,2024-08-19,2024-08-26,2024-08-27,2024-08-26,207178,Lassane,4006.93,359.77,508.27,Mar,Boleto,4.0,333.91,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-9/16,4,2024-09-02,2024-08-19,2024-08-26,2024-08-27,2024-08-26,207178,Lassane,1887.04,169.43,239.37,Mar,Boleto,4.0,471.76,CAIXAS,Wire-o,WIRE-O
MP003 ELASTICO Nº 12Azul Bebê - São José-U,200,2024-08-26,2024-08-19,2024-08-26,2024-09-02,2024-09-12,154238,Fábrica de Elásicos São José,90.92,1.95,10.91,Universo,Boleto,4.0,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Marinho - São José-U,2000,2024-08-26,2024-08-19,2024-08-26,2024-09-02,2024-09-12,154238,Fábrica de Elásicos São José,909.2,19.52,109.1,Universo,Boleto,4.0,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Azul Royal - São José-U,350,2024-08-26,2024-08-19,2024-08-26,2024-09-02,2024-09-12,154238,Fábrica de Elásicos São José,181.84,3.9,21.82,Universo,Boleto,4.0,0.52,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Dourado - São José-U,4000,2024-08-26,2024-08-19,2024-08-26,2024-09-02,2024-09-12,154238,Fábrica de Elásicos São José,2491.2,53.49,298.94,Universo,Boleto,4.0,0.62,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Marfim - São José-U,700,2024-08-26,2024-08-19,2024-08-26,2024-09-02,2024-09-12,154238,Fábrica de Elásicos São José,318.22,6.83,38.19,Universo,Boleto,4.0,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Marrom - São José-U,200,2024-08-26,2024-08-19,2024-08-26,2024-09-02,2024-09-12,154238,Fábrica de Elásicos São José,90.92,1.95,10.91,Universo,Boleto,4.0,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Preto - São José-U,3000,2024-08-26,2024-08-19,2024-08-26,2024-09-02,2024-09-12,154238,Fábrica de Elásicos São José,1393.8,29.28,163.66,Universo,Boleto,4.0,0.46,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Rosa Bebê - São José-U,700,2024-08-26,2024-08-19,2024-08-26,2024-09-02,2024-09-12,154238,Fábrica de Elásicos São José,318.22,6.83,38.19,Universo,Boleto,4.0,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Verde Agua - São José-U,200,2024-08-26,2024-08-19,2024-08-26,2024-09-02,2024-09-12,154238,Fábrica de Elásicos São José,90.92,1.95,10.91,Universo,Boleto,4.0,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Verde Musgo - São José-U,1500,2024-08-26,2024-08-19,2024-08-26,2024-09-02,2024-09-12,154238,Fábrica de Elásicos São José,681.9,14.64,81.83,Universo,Boleto,4.0,0.45,METROS,Aviamentos,ELASTICO
MP003 ELASTICO Nº 12Vinho - Monitex-U,300,2024-08-26,2024-08-19,2024-09-05,2024-09-16,2024-09-16,4823,Elásticos Monitex,172.37,0.0,,Projeto,Boleto,1.0,0.57,METROS,Aviamentos,ELASTICO
MP001 FITA DE CETIM Nº0 4MMAzul Marinho - Cód. 120 Kit-4MM,500,2024-08-26,2024-08-19,2024-08-22,2024-08-23,2024-08-26,101088,Castro e Castro,49.95,0.0,5.45,Elohim,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMAzul Royal - cód. 40-4MM,200,2024-08-26,2024-08-19,2024-08-22,2024-08-23,2024-08-26,101088,Castro e Castro,19.98,0.0,2.18,Elohim,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMDourada - Cód. 87 Kit-4MM,200,2024-08-26,2024-08-19,2024-08-22,2024-08-23,2024-08-26,101088,Castro e Castro,19.98,0.0,2.18,Elohim,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMMarfim - Cód.02 Kit-4MM,200,2024-08-26,2024-08-19,2024-08-22,2024-08-23,2024-08-26,101088,Castro e Castro,19.98,0.0,2.18,Elohim,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMMarrom - cód. 32-4MM,200,2024-08-26,2024-08-19,2024-08-22,2024-08-23,2024-08-26,101088,Castro e Castro,19.98,0.0,2.18,Elohim,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMPreta - Cód. 39-4MM,1000,2024-08-26,2024-08-19,2024-08-22,2024-08-23,2024-08-26,101088,Castro e Castro,99.9,0.0,10.9,Elohim,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Musgo - cód. 108 Kit-4MM,300,2024-08-26,2024-08-19,2024-08-27,2024-08-29,2024-08-29,904694,Parco Comércio e Serviços,29.97,0.0,5.99,Projeto,Cartão,1.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVerde Piscina - Cód. 232 Prógresso-4MM,200,2024-08-26,2024-08-19,2024-09-05,2024-09-06,2024-09-13,219696,DSJ Londrina,21.98,6.52,3.68,Projeto,Cartão,1.0,0.11,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVermelha - Cód. 26 Kit-4MM,100,2024-08-26,2024-08-19,2024-08-22,2024-08-23,2024-08-26,101088,Castro e Castro,9.99,0.0,1.09,Elohim,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMAmarelo Ouro - Cód. 132 Kit-7MM,300,2024-08-26,2024-08-19,2024-08-22,2024-08-23,2024-08-26,101088,Castro e Castro,29.97,0.0,3.27,Elohim,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMAzul Marinho - Cód. 120 Kit-7MM,400,2024-08-26,2024-08-19,2024-08-22,2024-08-23,2024-08-26,101088,Castro e Castro,70.4,0.0,7.68,Elohim,Boleto,3.0,0.18,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMDourada - Cód. 87 Kit-7MM,400,2024-08-26,2024-08-19,2024-08-22,2024-08-23,2024-08-26,101088,Castro e Castro,39.96,0.0,4.36,Elohim,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMMarrom - cód. 32-7MM,300,2024-08-26,2024-08-19,2024-08-27,2024-08-29,2024-08-29,904694,Parco Comércio e Serviços,59.94,0.0,11.99,Projeto,Cartão,1.0,0.2,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMPreta - Cód. 39-7MM,1500,2024-08-26,2024-08-19,2024-08-22,2024-08-23,2024-08-26,101088,Castro e Castro,149.85,0.0,16.35,Elohim,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP002 FITA DE CETIM Nº1 7MMVerde Musgo - cód. 108 Kit-7MM,300,2024-08-26,2024-08-19,2024-08-22,2024-08-23,2024-08-26,101088,Castro e Castro,29.97,0.0,3.27,Elohim,Boleto,3.0,0.1,METROS,Aviamentos,FITA DE CETIM
MP001 FITA DE CETIM Nº0 4MMVinho - Cód. 37 Kit-4MM,100,2024-08-26,2024-08-19,2024-08-27,2024-08-29,2024-08-29,904694,Parco Comércio e Serviços,9.99,0.0,2.0,Projeto,Cartão,1.0,0.1,METROS,Aviamentos,FITA DE CETIM
20336 FERRAGEM A5UNICA-U,3000,2024-09-02,2024-08-19,2024-08-26,2024-08-27,2024-08-30,3759,Naxan,10650.0,261.64,,Flora,Boleto,3.0,3.55,UNIDADES,Sintéticos,FERRAGEM
20337 FERRAGEM 17X24UNICA-U,2000,2024-09-02,2024-08-19,2024-08-26,2024-08-27,2024-08-30,3759,Naxan,7270.0,178.36,,Flora,Boleto,3.0,3.64,UNIDADES,Sintéticos,FERRAGEM
MP004 ILHOS Nº 54BRANCO-U,2000,2024-08-26,2024-08-19,2024-08-22,2024-08-23,2024-08-26,101088,Castro e Castro,49.18,0.0,5.36,Elohim,Boleto,3.0,0.02,UNIDADES,Resto,ILHOS
MP004 ILHOS Nº 54PRATA-U,5000,2024-08-26,2024-08-19,2024-08-22,2024-08-23,2024-08-26,101088,Castro e Castro,122.95,0.0,13.41,Elohim,Boleto,3.0,0.02,UNIDADES,Resto,ILHOS
MP004 ILHOS Nº 54PRETO-U,30000,2024-08-26,2024-08-19,2024-08-22,2024-08-23,2024-08-26,101088,Castro e Castro,737.7,0.0,80.47,Elohim,Boleto,3.0,0.02,UNIDADES,Resto,ILHOS
MP427 REBITE FERRO EBERLE - NIQUELADOUNICA-U,30000,2024-09-16,2024-08-19,2024-08-21,2024-09-19,2024-09-25,1094883,Mundial SA Produtos de Consumo,3081.21,0.0,369.75,Projeto,Boleto,3.0,0.1,UNIDADES,Resto,REBITE
20378 WIRE-O - BOBINA PRETAUNICA-1,15,2024-09-16,2024-08-20,2024-09-05,2024-09-10,2024-09-16,207704,Lassane,4360.2,443.95,558.36,Flora,Boleto,4.0,290.68,CAIXAS,Wire-o,WIRE-O
20378 WIRE-O - BOBINA PRETAUNICA-7/8,25,2024-09-16,2024-08-20,2024-09-05,2024-09-10,2024-09-16,207704,Lassane,8083.18,823.0,1035.1,Flora,Boleto,4.0,323.33,CAIXAS,Wire-o,WIRE-O
MP099 PELICA PRETA 180G/M2 Bob 1300 MM - COR 124UNICA-U,1000,2024-09-05,2024-08-20,2024-08-20,2024-08-28,2024-09-05,25611,Buritama Sintéticos,10385.92,833.33,1207.08,Mar,Boleto,3.0,10.39,METROS,Sintéticos,COURO
MP112 PELICA VERMELHO QUENTE 180G/M2 BOB 1300 MMUNICA-U,400,2024-09-05,2024-08-20,2024-08-20,2024-08-28,2024-09-05,25611,Buritama Sintéticos,4641.6,333.33,533.52,Mar,Boleto,3.0,11.6,METROS,Sintéticos,COURO
20347 PEVECRON - CEDRO PRETO 180G/M2 BOB 1400 MMUNICA-U,40,2024-09-05,2024-08-20,2024-08-20,2024-08-23,2024-08-30,6491,Belo Plástico,1054.4,0.0,0.0,Gomes,Cartão,6.0,26.36,METROS,Sintéticos,COURO
